model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,en,ja,r1,0.21875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,en,ja,mrr,0.3165331470113334,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,en,zh,r1,0.439453125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,en,zh,mrr,0.542217302007904,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,ko,en,r1,0.234375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,ko,en,mrr,0.33134613819375514,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,ko,ja,r1,0.357421875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,ko,ja,mrr,0.4745403759780712,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,ko,zh,r1,0.171875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,ko,zh,mrr,0.2498430576686126,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,ja,en,r1,0.193359375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,ja,en,mrr,0.28365758035007865,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,ja,ko,r1,0.32421875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,ja,ko,mrr,0.4334183379352006,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,ja,zh,r1,0.177734375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,ja,zh,mrr,0.25589639607741677,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,zh,en,r1,0.470703125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,zh,en,mrr,0.5699332473840647,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,zh,ko,r1,0.22265625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,zh,ko,mrr,0.31352175776698354,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,zh,ja,r1,0.1640625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,zh,ja,mrr,0.2488102394962617,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,en,ko,r1,0.44921875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,en,ko,mrr,0.5564693301709374,3,1024,2048
