record_type,model,pooling,condition,seed,test_language,metric,value,comparison,ci_lower,ci_upper,n_resamples,n_train,n_eval
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,en,macro_f1,0.6412136933640723,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,ko,accuracy,0.08066666666666666,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,ko,macro_f1,0.022077519139386232,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,ja,accuracy,0.056,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,ja,macro_f1,0.010317375504636303,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,zh,accuracy,0.06733333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,zh,macro_f1,0.015635652127589005,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,en,accuracy,0.774,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,en,macro_f1,0.7235812472732274,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,ko,accuracy,0.22733333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,ko,macro_f1,0.18166782683567775,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,ja,accuracy,0.284,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,ja,macro_f1,0.2479524315063351,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,zh,accuracy,0.292,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,zh,macro_f1,0.26999122976209805,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,en,accuracy,0.7193333333333334,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,en,macro_f1,0.6426263098594038,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,ko,accuracy,0.078,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,ko,macro_f1,0.023870806277219655,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,ja,accuracy,0.058,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,ja,macro_f1,0.009749103158832883,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,zh,accuracy,0.07,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,zh,macro_f1,0.016610527871185308,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,en,accuracy,0.7753333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,en,macro_f1,0.7229660508924866,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,ko,accuracy,0.22866666666666666,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,ko,macro_f1,0.1824769325126416,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,ja,accuracy,0.292,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,ja,macro_f1,0.2580279342427877,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,zh,accuracy,0.30666666666666664,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,zh,macro_f1,0.29220831067218506,,,,,3000,1500
bootstrap_delta,trillionlabs/Tri-0.5B-Base,last_token,language,,target_mean,delta_accuracy,0.26755555555555555,language-normal,0.2519888888888889,0.2840111111111111,1000,3000,4500
bootstrap_delta,trillionlabs/Tri-0.5B-Base,last_token,pca,,target_mean,delta_accuracy,0.33311111111111114,pca-normal,0.318,0.34756111111111115,1000,3000,4500
bootstrap_delta,trillionlabs/Tri-0.5B-Base,last_token,language,,target_mean,delta_accuracy,-0.06555555555555555,language-pca,-0.07777777777777777,-0.050655555555555565,1000,3000,4500
bootstrap_delta,trillionlabs/Tri-0.5B-Base,mean,language,,target_mean,delta_accuracy,0.21,language-normal,0.1939944444444444,0.22644444444444445,1000,3000,4500
bootstrap_delta,trillionlabs/Tri-0.5B-Base,mean,pca,,target_mean,delta_accuracy,0.12333333333333334,pca-normal,0.10911111111111112,0.1386666666666667,1000,3000,4500
bootstrap_delta,trillionlabs/Tri-0.5B-Base,mean,language,,target_mean,delta_accuracy,0.08666666666666667,language-pca,0.07377777777777778,0.09911111111111111,1000,3000,4500
