model,layer,normalized_depth,pooling,condition,status,metric,value,n_train,n_eval,directions
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,centered_delta,ok,r5,0.053059895833333336,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,aligned,ok,r5,0.099609375,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,delta,ok,r5,0.019694010416666668,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,raw,ok,r10,0.123046875,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,centered,ok,r10,0.177734375,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,centered_delta,ok,r10,0.0546875,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,aligned,ok,r10,0.14420572916666666,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,delta,ok,r10,0.021158854166666668,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,raw,ok,mrr,0.06749843830846518,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,centered,ok,mrr,0.1079544892499897,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,centered_delta,ok,mrr,0.04045605094152454,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,aligned,ok,mrr,0.07428388752577998,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,delta,ok,mrr,0.006785449217314814,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,raw,ok,r1,0.0361328125,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,centered,ok,r1,0.0771484375,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,centered_delta,ok,r1,0.041015625,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,aligned,ok,r1,0.0380859375,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,delta,ok,r1,0.001953125,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,raw,ok,r5,0.08968098958333333,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,centered,ok,r5,0.15364583333333334,256,512,12
