model,layer,normalized_depth,pooling,condition,metric,value,n,directions
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,raw,r10,0.07470703125,512,12
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,raw,mrr,0.04216882022785074,512,12
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,raw,r1,0.038248697916666664,512,12
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,raw,r5,0.09651692708333333,512,12
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,raw,r10,0.13753255208333334,512,12
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,raw,mrr,0.07553488785421086,512,12
Qwen/Qwen2.5-0.5B,3,0.125,last_token,raw,r1,0.047200520833333336,512,12
Qwen/Qwen2.5-0.5B,3,0.125,last_token,raw,r5,0.11002604166666667,512,12
Qwen/Qwen2.5-0.5B,3,0.125,last_token,raw,r10,0.15869140625,512,12
Qwen/Qwen2.5-0.5B,3,0.125,last_token,raw,mrr,0.08833211317569571,512,12
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,raw,r1,0.08968098958333333,512,12
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,raw,r5,0.19710286458333334,512,12
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,raw,r10,0.2644856770833333,512,12
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,raw,mrr,0.15046134052569304,512,12
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,raw,r1,0.27294921875,512,12
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,raw,r5,0.4822591145833333,512,12
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,raw,r10,0.5810546875,512,12
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,raw,mrr,0.37530052935360114,512,12
Qwen/Qwen2.5-0.5B,6,0.25,last_token,raw,r1,0.22639973958333334,512,12
Qwen/Qwen2.5-0.5B,6,0.25,last_token,raw,r5,0.4010416666666667,512,12
Qwen/Qwen2.5-0.5B,6,0.25,last_token,raw,r10,0.4899088541666667,512,12
Qwen/Qwen2.5-0.5B,6,0.25,last_token,raw,mrr,0.3150894614972646,512,12
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,raw,r1,0.2726236979166667,512,12
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,raw,r5,0.4635416666666667,512,12
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,raw,r10,0.5564778645833334,512,12
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,last_token,raw,mrr,0.3675532285626473,512,12
Qwen/Qwen2.5-0.5B,8,0.3333333333333333,last_token,raw,r1,0.3580729166666667,512,12
Qwen/Qwen2.5-0.5B,8,0.3333333333333333,last_token,raw,r5,0.5651041666666666,512,12
Qwen/Qwen2.5-0.5B,8,0.3333333333333333,last_token,raw,r10,0.64794921875,512,12
Qwen/Qwen2.5-0.5B,8,0.3333333333333333,last_token,raw,mrr,0.45697353811569347,512,12
Qwen/Qwen2.5-0.5B,9,0.375,last_token,raw,r1,0.45703125,512,12
