model,layer,normalized_depth,pooling,source_language,target_language,condition,metric,value,n
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ko,en,raw,mrr,0.0816088216450988,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ko,ja,raw,r1,0.0078125,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ko,ja,raw,r5,0.021484375,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ko,ja,raw,r10,0.04296875,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ko,ja,raw,mrr,0.025791730605503424,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ko,zh,raw,r1,0.013671875,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ko,zh,raw,r5,0.041015625,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ko,zh,raw,r10,0.048828125,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ko,zh,raw,mrr,0.035314805694997606,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ja,en,raw,r1,0.01171875,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ja,en,raw,r5,0.03515625,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ja,en,raw,r10,0.068359375,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ja,en,raw,mrr,0.03509465116099676,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ja,ko,raw,r1,0.015625,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ja,ko,raw,r5,0.048828125,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ja,ko,raw,r10,0.087890625,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ja,ko,raw,mrr,0.042460044182867064,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ja,zh,raw,r1,0.025390625,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ja,zh,raw,r5,0.068359375,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ja,zh,raw,r10,0.103515625,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ja,zh,raw,mrr,0.05685646909395694,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,zh,en,raw,r1,0.056640625,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,zh,en,raw,r5,0.115234375,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,zh,en,raw,r10,0.1796875,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,zh,en,raw,mrr,0.10085524878288749,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,zh,ko,raw,r1,0.017578125,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,zh,ko,raw,r5,0.05859375,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,zh,ko,raw,r10,0.083984375,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,zh,ko,raw,mrr,0.04829544747876479,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,zh,ja,raw,r1,0.0234375,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,zh,ja,raw,r5,0.056640625,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,zh,ja,raw,r10,0.087890625,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,zh,ja,raw,mrr,0.05025456688377737,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,en,ko,raw,r1,0.05078125,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,en,ko,raw,r5,0.12890625,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,en,ko,raw,r10,0.166015625,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,en,ko,raw,mrr,0.09614447234048362,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,en,ja,raw,r1,0.015625,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,en,ja,raw,r5,0.0234375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,en,ja,raw,r10,0.052734375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,en,ja,raw,mrr,0.03247126868878679,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,en,zh,raw,r1,0.037109375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,en,zh,raw,r5,0.091796875,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,en,zh,raw,r10,0.130859375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,en,zh,raw,mrr,0.07300483583391645,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ko,en,raw,r1,0.044921875,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ko,en,raw,r5,0.1484375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ko,en,raw,r10,0.189453125,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ko,en,raw,mrr,0.09733531807639412,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ko,ja,raw,r1,0.013671875,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ko,ja,raw,r5,0.02734375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ko,ja,raw,r10,0.044921875,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ko,ja,raw,mrr,0.031674228746250074,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ko,zh,raw,r1,0.025390625,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ko,zh,raw,r5,0.052734375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ko,zh,raw,r10,0.076171875,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ko,zh,raw,mrr,0.04864467474242597,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ja,en,raw,r1,0.01953125,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ja,en,raw,r5,0.056640625,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ja,en,raw,r10,0.10546875,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ja,en,raw,mrr,0.050831069657256,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ja,ko,raw,r1,0.025390625,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ja,ko,raw,r5,0.080078125,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ja,ko,raw,r10,0.123046875,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ja,ko,raw,mrr,0.06275775799086145,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ja,zh,raw,r1,0.0390625,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ja,zh,raw,r5,0.08984375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ja,zh,raw,r10,0.1484375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,ja,zh,raw,mrr,0.07920111378813993,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,zh,en,raw,r1,0.05859375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,zh,en,raw,r5,0.146484375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,zh,en,raw,r10,0.205078125,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,zh,en,raw,mrr,0.10915643652274039,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,zh,ko,raw,r1,0.037109375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,zh,ko,raw,r5,0.076171875,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,zh,ko,raw,r10,0.134765625,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,zh,ko,raw,mrr,0.07159242176138021,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,zh,ja,raw,r1,0.017578125,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,zh,ja,raw,r5,0.064453125,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,zh,ja,raw,r10,0.099609375,512
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,zh,ja,raw,mrr,0.0496523103973316,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,en,ko,raw,r1,0.05078125,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,en,ko,raw,r5,0.12109375,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,en,ko,raw,r10,0.18359375,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,en,ko,raw,mrr,0.09786048162662639,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,en,ja,raw,r1,0.013671875,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,en,ja,raw,r5,0.02734375,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,en,ja,raw,r10,0.03515625,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,en,ja,raw,mrr,0.02975061156581624,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,en,zh,raw,r1,0.041015625,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,en,zh,raw,r5,0.08203125,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,en,zh,raw,r10,0.123046875,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,en,zh,raw,mrr,0.07200280184582535,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ko,en,raw,r1,0.05859375,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ko,en,raw,r5,0.14453125,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ko,en,raw,r10,0.205078125,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ko,en,raw,mrr,0.10786143044462665,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ko,ja,raw,r1,0.009765625,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ko,ja,raw,r5,0.025390625,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ko,ja,raw,r10,0.033203125,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ko,ja,raw,mrr,0.027489370776578384,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ko,zh,raw,r1,0.021484375,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ko,zh,raw,r5,0.0546875,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ko,zh,raw,r10,0.0703125,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ko,zh,raw,mrr,0.04348629297585989,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ja,en,raw,r1,0.0234375,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ja,en,raw,r5,0.072265625,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ja,en,raw,r10,0.103515625,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ja,en,raw,mrr,0.05769723686097285,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ja,ko,raw,r1,0.025390625,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ja,ko,raw,r5,0.08203125,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ja,ko,raw,r10,0.115234375,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ja,ko,raw,mrr,0.061462512420102935,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ja,zh,raw,r1,0.0390625,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ja,zh,raw,r5,0.091796875,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ja,zh,raw,r10,0.1640625,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,ja,zh,raw,mrr,0.07902017593607044,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,zh,en,raw,r1,0.068359375,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,zh,en,raw,r5,0.146484375,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,zh,en,raw,r10,0.21484375,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,zh,en,raw,mrr,0.11809048763214793,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,zh,ko,raw,r1,0.025390625,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,zh,ko,raw,r5,0.072265625,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,zh,ko,raw,r10,0.115234375,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,zh,ko,raw,mrr,0.06227084663924317,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,zh,ja,raw,r1,0.015625,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,zh,ja,raw,r5,0.078125,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,zh,ja,raw,r10,0.111328125,512
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,zh,ja,raw,mrr,0.04902925749825347,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,en,ko,raw,r1,0.060546875,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,en,ko,raw,r5,0.138671875,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,en,ko,raw,r10,0.193359375,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,en,ko,raw,mrr,0.11071293355526418,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,en,ja,raw,r1,0.013671875,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,en,ja,raw,r5,0.025390625,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,en,ja,raw,r10,0.044921875,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,en,ja,raw,mrr,0.030012206725555886,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,en,zh,raw,r1,0.037109375,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,en,zh,raw,r5,0.1015625,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,en,zh,raw,r10,0.150390625,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,en,zh,raw,mrr,0.07653045500812006,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,ko,en,raw,r1,0.05859375,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,ko,en,raw,r5,0.142578125,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,ko,en,raw,r10,0.201171875,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,ko,en,raw,mrr,0.10786991722344656,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,ko,ja,raw,r1,0.01171875,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,ko,ja,raw,r5,0.02734375,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,ko,ja,raw,r10,0.041015625,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,ko,ja,raw,mrr,0.03011258802061862,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,ko,zh,raw,r1,0.021484375,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,ko,zh,raw,r5,0.052734375,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,ko,zh,raw,r10,0.0859375,512
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,ko,zh,raw,mrr,0.046062814269838964,512
