model,layer,normalized_depth,pooling,condition,train_language,test_language,metric,value,accuracy,macro_f1,english_score,transfer_gap,n_train,n_centroid_samples,n_eval,n_classes
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,per-language-centered,en,en,macro_f1,0.640082759957128,0.6893333333333334,0.640082759957128,0.640082759957128,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,per-language-centered,en,ko,accuracy,0.316,0.316,0.2491415458667344,0.6893333333333334,0.37333333333333335,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,per-language-centered,en,ko,macro_f1,0.2491415458667344,0.316,0.2491415458667344,0.640082759957128,0.3909412140903936,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,per-language-centered,en,ja,accuracy,0.37133333333333335,0.37133333333333335,0.29445622459561355,0.6893333333333334,0.318,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,per-language-centered,en,ja,macro_f1,0.29445622459561355,0.37133333333333335,0.29445622459561355,0.640082759957128,0.3456265353615145,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,per-language-centered,en,zh,accuracy,0.4513333333333333,0.4513333333333333,0.38702147065141124,0.6893333333333334,0.23800000000000004,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,per-language-centered,en,zh,macro_f1,0.38702147065141124,0.4513333333333333,0.38702147065141124,0.640082759957128,0.2530612893057168,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,raw,en,en,accuracy,0.6726666666666666,0.6726666666666666,0.6188840435453208,0.6726666666666666,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,raw,en,en,macro_f1,0.6188840435453208,0.6726666666666666,0.6188840435453208,0.6188840435453208,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,raw,en,ko,accuracy,0.2853333333333333,0.2853333333333333,0.20621250160708482,0.6726666666666666,0.3873333333333333,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,raw,en,ko,macro_f1,0.20621250160708482,0.2853333333333333,0.20621250160708482,0.6188840435453208,0.41267154193823596,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,raw,en,ja,accuracy,0.3453333333333333,0.3453333333333333,0.2534565284709078,0.6726666666666666,0.3273333333333333,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,raw,en,ja,macro_f1,0.2534565284709078,0.3453333333333333,0.2534565284709078,0.6188840435453208,0.36542751507441296,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,raw,en,zh,accuracy,0.44133333333333336,0.44133333333333336,0.3688740964243287,0.6726666666666666,0.23133333333333328,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,raw,en,zh,macro_f1,0.3688740964243287,0.44133333333333336,0.3688740964243287,0.6188840435453208,0.25000994712099206,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,global-centered,en,en,accuracy,0.6726666666666666,0.6726666666666666,0.6188840435453208,0.6726666666666666,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,global-centered,en,en,macro_f1,0.6188840435453208,0.6726666666666666,0.6188840435453208,0.6188840435453208,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,global-centered,en,ko,accuracy,0.2853333333333333,0.2853333333333333,0.20621250160708482,0.6726666666666666,0.3873333333333333,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,global-centered,en,ko,macro_f1,0.20621250160708482,0.2853333333333333,0.20621250160708482,0.6188840435453208,0.41267154193823596,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,global-centered,en,ja,accuracy,0.3453333333333333,0.3453333333333333,0.2534565284709078,0.6726666666666666,0.3273333333333333,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,global-centered,en,ja,macro_f1,0.2534565284709078,0.3453333333333333,0.2534565284709078,0.6188840435453208,0.36542751507441296,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,global-centered,en,zh,accuracy,0.44133333333333336,0.44133333333333336,0.3688740964243287,0.6726666666666666,0.23133333333333328,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,global-centered,en,zh,macro_f1,0.3688740964243287,0.44133333333333336,0.3688740964243287,0.6188840435453208,0.25000994712099206,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,per-language-centered,en,en,accuracy,0.6726666666666666,0.6726666666666666,0.6188840435453208,0.6726666666666666,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,per-language-centered,en,en,macro_f1,0.6188840435453208,0.6726666666666666,0.6188840435453208,0.6188840435453208,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,per-language-centered,en,ko,accuracy,0.30133333333333334,0.30133333333333334,0.23215186034158206,0.6726666666666666,0.3713333333333333,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,per-language-centered,en,ko,macro_f1,0.23215186034158206,0.30133333333333334,0.23215186034158206,0.6188840435453208,0.3867321832037387,3000,3000,1500,60
