model,layer,normalized_depth,pooling,language,source_language,target_language,n,metric,value
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ko,ja,512,matched_cosine,0.8181244134902954
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ko,ja,512,unmatched_cosine,0.8124750256538391
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ko,ja,512,cosine_margin,0.005649387836456299
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ko,zh,512,matched_cosine,0.8124873638153076
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ko,zh,512,unmatched_cosine,0.792878270149231
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ko,zh,512,cosine_margin,0.01960909366607666
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ja,en,512,matched_cosine,0.8171480894088745
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ja,en,512,unmatched_cosine,0.8115978837013245
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ja,en,512,cosine_margin,0.005550205707550049
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ja,ko,512,matched_cosine,0.8181244134902954
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ja,ko,512,unmatched_cosine,0.8123211860656738
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ja,ko,512,cosine_margin,0.005803227424621582
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ja,zh,512,matched_cosine,0.9570485353469849
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ja,zh,512,unmatched_cosine,0.9501808881759644
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ja,zh,512,cosine_margin,0.006867647171020508
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,zh,en,512,matched_cosine,0.8382428884506226
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,zh,en,512,unmatched_cosine,0.8078287243843079
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,zh,en,512,cosine_margin,0.030414164066314697
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,zh,ko,512,matched_cosine,0.8124873638153076
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,zh,ko,512,unmatched_cosine,0.794074296951294
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,zh,ko,512,cosine_margin,0.018413066864013672
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,zh,ja,512,matched_cosine,0.9570485353469849
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,zh,ja,512,unmatched_cosine,0.9499844312667847
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,zh,ja,512,cosine_margin,0.007064104080200195
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,en,,,512,centroid_norm,0.9752829670906067
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,en,,,512,within_language_cosine,0.9510813375275196
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,en,,,512,stable_rank,5.8885983585764885
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,ko,,,512,centroid_norm,0.9723573923110962
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,ko,,,512,within_language_cosine,0.9453722212879159
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,ko,,,512,stable_rank,2.3621252340722836
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,ja,,,512,centroid_norm,0.9936704039573669
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,ja,,,512,within_language_cosine,0.9873561672501835
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,ja,,,512,stable_rank,4.675417585913807
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,zh,,,512,centroid_norm,0.9790483117103577
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,zh,,,512,within_language_cosine,0.9584544082910348
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,zh,,,512,stable_rank,5.376390306931778
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,en,ko,512,matched_cosine,0.9131214618682861
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,en,ko,512,unmatched_cosine,0.8999561667442322
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,en,ko,512,cosine_margin,0.013165295124053955
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,en,ja,512,matched_cosine,0.8725287914276123
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,en,ja,512,unmatched_cosine,0.8681467771530151
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,en,ja,512,cosine_margin,0.004382014274597168
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,en,zh,512,matched_cosine,0.9172791838645935
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,en,zh,512,unmatched_cosine,0.896104633808136
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,en,zh,512,cosine_margin,0.02117455005645752
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ko,en,512,matched_cosine,0.9131214618682861
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ko,en,512,unmatched_cosine,0.8990910649299622
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ko,en,512,cosine_margin,0.014030396938323975
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ko,ja,512,matched_cosine,0.9019389152526855
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ko,ja,512,unmatched_cosine,0.8977807760238647
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ko,ja,512,cosine_margin,0.004158139228820801
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ko,zh,512,matched_cosine,0.8833739757537842
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ko,zh,512,unmatched_cosine,0.8726975321769714
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ko,zh,512,cosine_margin,0.010676443576812744
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ja,en,512,matched_cosine,0.8725287914276123
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ja,en,512,unmatched_cosine,0.8678550124168396
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ja,en,512,cosine_margin,0.004673779010772705
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ja,ko,512,matched_cosine,0.9019389152526855
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ja,ko,512,unmatched_cosine,0.897754430770874
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ja,ko,512,cosine_margin,0.0041844844818115234
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ja,zh,512,matched_cosine,0.9180604815483093
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ja,zh,512,unmatched_cosine,0.9125496745109558
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,ja,zh,512,cosine_margin,0.005510807037353516
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,zh,en,512,matched_cosine,0.9172791838645935
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,zh,en,512,unmatched_cosine,0.8957865238189697
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,zh,en,512,cosine_margin,0.02149266004562378
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,zh,ko,512,matched_cosine,0.8833739757537842
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,zh,ko,512,unmatched_cosine,0.8730902671813965
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,zh,ko,512,cosine_margin,0.010283708572387695
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,zh,ja,512,matched_cosine,0.9180604815483093
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,zh,ja,512,unmatched_cosine,0.91261225938797
Qwen/Qwen2.5-0.5B,2,0.08333333333333333,last_token,,zh,ja,512,cosine_margin,0.0054482221603393555
Qwen/Qwen2.5-0.5B,3,0.125,last_token,en,,,512,centroid_norm,0.9682101607322693
Qwen/Qwen2.5-0.5B,3,0.125,last_token,en,,,512,within_language_cosine,0.937308414108366
Qwen/Qwen2.5-0.5B,3,0.125,last_token,en,,,512,stable_rank,6.515300012628749
Qwen/Qwen2.5-0.5B,3,0.125,last_token,ko,,,512,centroid_norm,0.9649963974952698
Qwen/Qwen2.5-0.5B,3,0.125,last_token,ko,,,512,within_language_cosine,0.9310834253837451
Qwen/Qwen2.5-0.5B,3,0.125,last_token,ko,,,512,stable_rank,2.40046758366183
Qwen/Qwen2.5-0.5B,3,0.125,last_token,ja,,,512,centroid_norm,0.9883845448493958
Qwen/Qwen2.5-0.5B,3,0.125,last_token,ja,,,512,within_language_cosine,0.9768587773093506
