model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,en,ja,mrr,0.7904402941662543,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,en,zh,r1,0.861328125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,en,zh,mrr,0.9112075188145778,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,ko,en,r1,0.259765625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,ko,en,mrr,0.3521068451256352,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,ko,ja,r1,0.505859375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,ko,ja,mrr,0.620130389033301,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,ko,zh,r1,0.421875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,ko,zh,mrr,0.539308521576397,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,ja,en,r1,0.49609375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,ja,en,mrr,0.6082637852137671,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,ja,ko,r1,0.728515625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,ja,ko,mrr,0.7933719627882894,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,ja,zh,r1,0.732421875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,ja,zh,mrr,0.8045451685328651,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,zh,en,r1,0.7578125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,zh,en,mrr,0.8296961797525817,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,zh,ko,r1,0.578125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,zh,ko,mrr,0.6887150851434244,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,zh,ja,r1,0.6640625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,zh,ja,mrr,0.7661806546105527,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,en,ko,r1,0.751953125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,en,ko,mrr,0.8165036139767206,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,en,ja,r1,0.90234375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,en,ja,mrr,0.9428997218059718,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,en,zh,r1,0.919921875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,en,zh,mrr,0.9480837359255327,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,ko,en,r1,0.767578125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,ko,en,mrr,0.8219376407888874,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,ko,ja,r1,0.849609375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,ko,ja,mrr,0.8867197195886334,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,ko,zh,r1,0.748046875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,ko,zh,mrr,0.8102232139681473,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,ja,en,r1,0.884765625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,ja,en,mrr,0.9222157797967783,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,ja,ko,r1,0.828125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,ja,ko,mrr,0.8652182320963309,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,ja,zh,r1,0.888671875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,ja,zh,mrr,0.9312155637403519,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,zh,en,r1,0.921875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,zh,en,mrr,0.9482026864676605,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,zh,ko,r1,0.732421875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,zh,ko,mrr,0.7964286339225587,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,zh,ja,r1,0.916015625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,per-language-centered,zh,ja,mrr,0.9498418898809524,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,,,language_probe_accuracy,0.99951171875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,,,language_probe_macro_f1,0.9995117182843383,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,geometry,,,centroid_separation,29.788633346557617,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,geometry,,,centroid_norm,59.84751892089844,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,geometry,,,language_subspace_variance_fraction,0.4713301697493413,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,geometry,,,language_subspace_centroid_variance,1.0000000000000002,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,geometry,,,anisotropy,0.9047873062163649,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,geometry,,,stable_rank,4.186568637939713,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,en,ko,r1,0.392578125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,en,ko,mrr,0.5498172242601971,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,en,ja,r1,0.087890625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,en,ja,mrr,0.2638299557062176,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,en,zh,r1,0.94921875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,en,zh,mrr,0.9678905404491343,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,ko,en,r1,0.35546875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,ko,en,mrr,0.46275006300921667,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,ko,ja,r1,0.22265625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,ko,ja,mrr,0.39955967177660834,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,ko,zh,r1,0.427734375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,ko,zh,mrr,0.5553352635895872,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,ja,en,r1,0.548828125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,ja,en,mrr,0.6533569768451204,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,ja,ko,r1,0.7734375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,ja,ko,mrr,0.8394821140038191,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,ja,zh,r1,0.767578125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,ja,zh,mrr,0.8460172878874153,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,zh,en,r1,0.958984375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,zh,en,mrr,0.9735056046060451,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,zh,ko,r1,0.517578125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,zh,ko,mrr,0.6461970006008798,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,zh,ja,r1,0.21875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,zh,ja,mrr,0.38853531867151453,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,en,ko,r1,0.806640625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,en,ko,mrr,0.8729106996311632,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,en,ja,r1,0.904296875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,en,ja,mrr,0.9405907785790598,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,en,zh,r1,0.98046875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,en,zh,mrr,0.9888346354166666,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,ko,en,r1,0.91796875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,ko,en,mrr,0.9404802829270783,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,ko,ja,r1,0.955078125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,ko,ja,mrr,0.9690719039351852,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,ko,zh,r1,0.90234375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,ko,zh,mrr,0.9358399092618076,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,ja,en,r1,0.947265625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,ja,en,mrr,0.9680741567460318,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,ja,ko,r1,0.912109375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,ja,ko,mrr,0.939990234375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,ja,zh,r1,0.958984375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,ja,zh,mrr,0.9739335317460318,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,zh,en,r1,0.978515625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,zh,en,mrr,0.9869326636904762,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,zh,ko,r1,0.814453125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,zh,ko,mrr,0.8728804970582269,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,zh,ja,r1,0.91015625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,per-language-centered,zh,ja,mrr,0.9444124622505252,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,,,language_probe_accuracy,1.0,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,mean,raw,,,language_probe_macro_f1,1.0,3,1024,2048
Qwen/Qwen2.5-0.5B,22,post_attention,last_token,geometry,,,centroid_separation,33.313961029052734,3,1024,2048
Qwen/Qwen2.5-0.5B,22,post_attention,last_token,geometry,,,centroid_norm,64.5669174194336,3,1024,2048
Qwen/Qwen2.5-0.5B,22,post_attention,last_token,geometry,,,language_subspace_variance_fraction,0.46224477494149385,3,1024,2048
Qwen/Qwen2.5-0.5B,22,post_attention,last_token,geometry,,,language_subspace_centroid_variance,0.9999999999999998,3,1024,2048
Qwen/Qwen2.5-0.5B,22,post_attention,last_token,geometry,,,anisotropy,0.8927406714153849,3,1024,2048
Qwen/Qwen2.5-0.5B,22,post_attention,last_token,geometry,,,stable_rank,4.267395233111827,3,1024,2048
Qwen/Qwen2.5-0.5B,22,post_attention,last_token,raw,en,ko,r1,0.587890625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,post_attention,last_token,raw,en,ko,mrr,0.6966971977914262,3,1024,2048
Qwen/Qwen2.5-0.5B,22,post_attention,last_token,raw,en,ja,r1,0.716796875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,post_attention,last_token,raw,en,ja,mrr,0.8100295151490379,3,1024,2048
