model,pooling,layer,target_language,metric,retrieval_raw,retrieval_centered,retrieval_gain,transfer_raw,transfer_centered,transfer_gain,pearson_r,spearman_r
Qwen/Qwen2.5-0.5B,mean,12,ja,accuracy,0.3606770833333333,0.6255208333333333,0.26484375,0.45466666666666666,0.612,0.15733333333333333,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,mean,12,ko,accuracy,0.248046875,0.38274739583333334,0.13470052083333334,0.35133333333333333,0.5333333333333333,0.182,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,mean,12,zh,accuracy,0.7083333333333334,0.8353515625,0.1270182291666666,0.672,0.6853333333333333,0.013333333333333308,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,mean,15,ja,accuracy,0.40234375,0.6845703125,0.2822265625,0.5086666666666667,0.6013333333333334,0.09266666666666667,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,mean,15,ko,accuracy,0.2845052083333333,0.4556640625,0.1711588541666667,0.364,0.5273333333333333,0.16333333333333333,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,mean,15,zh,accuracy,0.763671875,0.8360677083333333,0.07239583333333333,0.64,0.676,0.03600000000000003,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,mean,24,ja,accuracy,0.024739583333333332,0.34055989583333335,0.31582031250000003,0.132,0.5233333333333333,0.3913333333333333,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,mean,24,ko,accuracy,0.012369791666666666,0.251171875,0.23880208333333333,0.168,0.43733333333333335,0.2693333333333333,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,mean,24,zh,accuracy,0.03515625,0.39010416666666664,0.35494791666666664,0.49066666666666664,0.624,0.13333333333333336,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,last_token,0,ja,macro_f1,0.0,0.0,0.0,0.016519146917665803,0.017765996150526642,0.0012468492328608395,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,last_token,0,ko,macro_f1,0.00390625,0.00390625,0.0,0.014448376554206423,0.016474081437553616,0.0020257048833471937,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,last_token,0,zh,macro_f1,0.0032552083333333335,0.003841145833333333,0.0005859374999999997,0.18822255774752877,0.18501362572568297,-0.0032089320218458006,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,last_token,12,ja,macro_f1,0.7115885416666666,0.7623046875,0.05071614583333339,0.20619138246989585,0.21878725931669493,0.012595876846799081,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,last_token,12,ko,macro_f1,0.6868489583333334,0.6972005208333333,0.010351562499999911,0.1402874663147899,0.14824561547014328,0.007958149155353395,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,last_token,12,zh,macro_f1,0.6171875,0.6417317708333333,0.024544270833333326,0.5247854262578089,0.5299423570366506,0.005156930778841717,0.6529559270207274,0.7553816225537187
