model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval,record_type,comparison,ci_lower,ci_upper,n_resamples
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,zh,ja,mrr,0.26992827667504243,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,en,ko,r1,0.392578125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,en,ko,mrr,0.5498172242601971,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,en,ja,r1,0.087890625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,en,ja,mrr,0.2638299557062176,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,en,zh,r1,0.94921875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,en,zh,mrr,0.9678905404491343,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,ko,en,r1,0.35546875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,ko,en,mrr,0.46275006300921667,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,ko,ja,r1,0.22265625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,ko,ja,mrr,0.39955967177660834,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,ko,zh,r1,0.427734375,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,ko,zh,mrr,0.5553352635895872,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,ja,en,r1,0.548828125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,ja,en,mrr,0.6533569768451204,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,ja,ko,r1,0.7734375,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,ja,ko,mrr,0.8394821140038191,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,ja,zh,r1,0.767578125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,ja,zh,mrr,0.8460172878874153,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,zh,en,r1,0.958984375,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,zh,en,mrr,0.9735056046060451,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,normal,,zh,ko,r1,0.517578125,1024,2048,metric,,,,
