model,layer,normalized_depth,pooling,source_language,target_language,metric,n_train,n_eval,condition,status,value
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,ko,r1,256,512,aligned,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,ko,r1,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,ko,r5,256,512,raw,ok,0.005859375
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,ko,r5,256,512,aligned,ok,0.005859375
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,ko,r5,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,ko,r10,256,512,raw,ok,0.005859375
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,ko,r10,256,512,aligned,ok,0.033203125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,ko,r10,256,512,delta,ok,0.02734375
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,ko,mrr,256,512,raw,ok,0.006638898651371491
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,ko,mrr,256,512,aligned,ok,0.011053872056153397
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,ko,mrr,256,512,delta,ok,0.004414973404781906
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,r1,256,512,raw,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,r1,256,512,aligned,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,r1,256,512,delta,ok,-0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,r5,256,512,raw,ok,0.015625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,r5,256,512,aligned,ok,0.0234375
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,r5,256,512,delta,ok,0.0078125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,r10,256,512,raw,ok,0.03125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,r10,256,512,aligned,ok,0.052734375
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,r10,256,512,delta,ok,0.021484375
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,mrr,256,512,raw,ok,0.01272162696384043
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,mrr,256,512,aligned,ok,0.01775056437685448
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,zh,mrr,256,512,delta,ok,0.005028937413014051
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ko,r1,256,512,raw,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ko,r1,256,512,aligned,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ko,r1,256,512,delta,ok,-0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ko,r5,256,512,raw,ok,0.017578125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ko,r5,256,512,aligned,ok,0.013671875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ko,r5,256,512,delta,ok,-0.00390625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ko,r10,256,512,raw,ok,0.01953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ko,r10,256,512,aligned,ok,0.015625
