model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,ko,zh,mrr,0.3204588676849415,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,ja,en,r1,0.521484375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,ja,en,mrr,0.606827839994245,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,ja,ko,r1,0.484375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,ja,ko,mrr,0.5614512435973154,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,ja,zh,r1,0.38671875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,ja,zh,mrr,0.4971722535296057,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,zh,en,r1,0.599609375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,zh,en,mrr,0.6694559545952683,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,zh,ko,r1,0.419921875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,zh,ko,mrr,0.5003070245690272,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,zh,ja,r1,0.302734375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,zh,ja,mrr,0.3848453883068178,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,en,ko,r1,0.701171875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,en,ko,mrr,0.7637492413468083,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,en,ja,r1,0.69921875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,en,ja,mrr,0.78341823853111,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,en,zh,r1,0.755859375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,en,zh,mrr,0.8202105428478168,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,ko,en,r1,0.685546875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,ko,en,mrr,0.7456516880363131,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,ko,ja,r1,0.61328125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,ko,ja,mrr,0.6950266635431854,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,ko,zh,r1,0.55859375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,ko,zh,mrr,0.6411929758207425,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,ja,en,r1,0.736328125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,ja,en,mrr,0.8045554751289687,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,ja,ko,r1,0.62890625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,ja,ko,mrr,0.7083893058682156,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,ja,zh,r1,0.646484375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,ja,zh,mrr,0.7267777569127891,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,zh,en,r1,0.7890625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,zh,en,mrr,0.8415910376782922,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,zh,ko,r1,0.5859375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,zh,ko,mrr,0.6689929100152378,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,zh,ja,r1,0.623046875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,per-language-centered,zh,ja,mrr,0.7147730989274836,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,,,language_probe_accuracy,0.9970703125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,,,language_probe_macro_f1,0.9970702910794005,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,geometry,,,centroid_separation,849.509765625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,geometry,,,centroid_norm,4718.3525390625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,geometry,,,language_subspace_variance_fraction,0.9831050574613555,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,geometry,,,language_subspace_centroid_variance,0.9999999999999999,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,geometry,,,anisotropy,0.9949081480619726,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,geometry,,,stable_rank,1.0101577306193799,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,en,ko,r1,0.251953125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,en,ko,mrr,0.30974982464693446,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,en,ja,r1,0.283203125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,en,ja,mrr,0.3600476865900256,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,en,zh,r1,0.208984375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,en,zh,mrr,0.27654369376032123,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,ko,en,r1,0.19140625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,ko,en,mrr,0.23070675930688544,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,ko,ja,r1,0.255859375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,ko,ja,mrr,0.32102743138748446,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,ko,zh,r1,0.15234375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,ko,zh,mrr,0.2070017013650463,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,ja,en,r1,0.279296875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,ja,en,mrr,0.3263918198971592,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,ja,ko,r1,0.39453125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,ja,ko,mrr,0.46940294072473476,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,ja,zh,r1,0.44921875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,ja,zh,mrr,0.512693241308899,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,zh,en,r1,0.240234375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,zh,en,mrr,0.288774142812081,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,zh,ko,r1,0.30859375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,zh,ko,mrr,0.3943615278922947,3,1024,2048
