model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,ko,zh,r1,0.544921875,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,ko,zh,mrr,0.6280338953980495,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,ja,en,r1,0.638671875,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,ja,en,mrr,0.7142392578208501,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,ja,ko,r1,0.623046875,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,ja,ko,mrr,0.7044498425105883,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,ja,zh,r1,0.56640625,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,ja,zh,mrr,0.6505172116509049,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,zh,en,r1,0.76171875,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,zh,en,mrr,0.8096281915078049,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,zh,ko,r1,0.55078125,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,zh,ko,mrr,0.6281222286639454,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,zh,ja,r1,0.41015625,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,zh,ja,mrr,0.5093355330086746,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,,,language_probe_accuracy,0.99658203125,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,,,language_probe_macro_f1,0.9965844093926317,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,en,ko,r1,0.75,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,en,ko,mrr,0.8001313930426277,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,en,ja,r1,0.587890625,1024,2048
