model,layer,relative_position,source_language,target_language,metric,value,n
Qwen/Qwen2.5-0.5B,22,0.25,en,zh,r1,0.25,512
Qwen/Qwen2.5-0.5B,22,0.25,ko,en,r1,0.0390625,512
Qwen/Qwen2.5-0.5B,22,0.25,ko,ja,r1,0.0859375,512
Qwen/Qwen2.5-0.5B,22,0.25,ko,zh,r1,0.07421875,512
Qwen/Qwen2.5-0.5B,22,0.25,ja,en,r1,0.052734375,512
Qwen/Qwen2.5-0.5B,22,0.25,ja,ko,r1,0.11328125,512
Qwen/Qwen2.5-0.5B,22,0.25,ja,zh,r1,0.123046875,512
Qwen/Qwen2.5-0.5B,22,0.25,zh,en,r1,0.212890625,512
Qwen/Qwen2.5-0.5B,22,0.25,zh,ko,r1,0.080078125,512
Qwen/Qwen2.5-0.5B,22,0.25,zh,ja,r1,0.095703125,512
Qwen/Qwen2.5-0.5B,23,0.25,en,ko,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,23,0.25,en,ja,r1,0.02734375,512
Qwen/Qwen2.5-0.5B,23,0.25,en,zh,r1,0.232421875,512
Qwen/Qwen2.5-0.5B,23,0.25,ko,en,r1,0.04296875,512
Qwen/Qwen2.5-0.5B,23,0.25,ko,ja,r1,0.0859375,512
Qwen/Qwen2.5-0.5B,23,0.25,ko,zh,r1,0.08203125,512
Qwen/Qwen2.5-0.5B,23,0.25,ja,en,r1,0.044921875,512
Qwen/Qwen2.5-0.5B,23,0.25,ja,ko,r1,0.052734375,512
Qwen/Qwen2.5-0.5B,23,0.25,ja,zh,r1,0.1171875,512
Qwen/Qwen2.5-0.5B,23,0.25,zh,en,r1,0.205078125,512
Qwen/Qwen2.5-0.5B,23,0.25,zh,ko,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,23,0.25,zh,ja,r1,0.08203125,512
Qwen/Qwen2.5-0.5B,24,0.25,en,ko,r1,0.005859375,512
Qwen/Qwen2.5-0.5B,24,0.25,en,ja,r1,0.001953125,512
Qwen/Qwen2.5-0.5B,24,0.25,en,zh,r1,0.01171875,512
Qwen/Qwen2.5-0.5B,24,0.25,ko,en,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,24,0.25,ko,ja,r1,0.01171875,512
Qwen/Qwen2.5-0.5B,24,0.25,ko,zh,r1,0.005859375,512
Qwen/Qwen2.5-0.5B,24,0.25,ja,en,r1,0.005859375,512
Qwen/Qwen2.5-0.5B,24,0.25,ja,ko,r1,0.001953125,512
Qwen/Qwen2.5-0.5B,24,0.25,ja,zh,r1,0.0234375,512
Qwen/Qwen2.5-0.5B,24,0.25,zh,en,r1,0.013671875,512
Qwen/Qwen2.5-0.5B,24,0.25,zh,ko,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,24,0.25,zh,ja,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,18,0.5,en,ko,r1,0.09765625,512
Qwen/Qwen2.5-0.5B,18,0.5,en,ja,r1,0.111328125,512
Qwen/Qwen2.5-0.5B,18,0.5,en,zh,r1,0.234375,512
Qwen/Qwen2.5-0.5B,18,0.5,ko,en,r1,0.091796875,512
Qwen/Qwen2.5-0.5B,18,0.5,ko,ja,r1,0.0859375,512
Qwen/Qwen2.5-0.5B,18,0.5,ko,zh,r1,0.083984375,512
Qwen/Qwen2.5-0.5B,18,0.5,ja,en,r1,0.115234375,512
Qwen/Qwen2.5-0.5B,18,0.5,ja,ko,r1,0.072265625,512
Qwen/Qwen2.5-0.5B,18,0.5,ja,zh,r1,0.12109375,512
Qwen/Qwen2.5-0.5B,18,0.5,zh,en,r1,0.21875,512
Qwen/Qwen2.5-0.5B,18,0.5,zh,ko,r1,0.095703125,512
Qwen/Qwen2.5-0.5B,18,0.5,zh,ja,r1,0.1171875,512
Qwen/Qwen2.5-0.5B,19,0.5,en,ko,r1,0.09765625,512
Qwen/Qwen2.5-0.5B,19,0.5,en,ja,r1,0.1171875,512
Qwen/Qwen2.5-0.5B,19,0.5,en,zh,r1,0.248046875,512
Qwen/Qwen2.5-0.5B,19,0.5,ko,en,r1,0.083984375,512
Qwen/Qwen2.5-0.5B,19,0.5,ko,ja,r1,0.087890625,512
Qwen/Qwen2.5-0.5B,19,0.5,ko,zh,r1,0.08984375,512
Qwen/Qwen2.5-0.5B,19,0.5,ja,en,r1,0.109375,512
Qwen/Qwen2.5-0.5B,19,0.5,ja,ko,r1,0.078125,512
Qwen/Qwen2.5-0.5B,19,0.5,ja,zh,r1,0.12890625,512
Qwen/Qwen2.5-0.5B,19,0.5,zh,en,r1,0.234375,512
Qwen/Qwen2.5-0.5B,19,0.5,zh,ko,r1,0.109375,512
Qwen/Qwen2.5-0.5B,19,0.5,zh,ja,r1,0.126953125,512
Qwen/Qwen2.5-0.5B,20,0.5,en,ko,r1,0.083984375,512
Qwen/Qwen2.5-0.5B,20,0.5,en,ja,r1,0.115234375,512
Qwen/Qwen2.5-0.5B,20,0.5,en,zh,r1,0.255859375,512
Qwen/Qwen2.5-0.5B,20,0.5,ko,en,r1,0.083984375,512
Qwen/Qwen2.5-0.5B,20,0.5,ko,ja,r1,0.083984375,512
Qwen/Qwen2.5-0.5B,20,0.5,ko,zh,r1,0.1015625,512
Qwen/Qwen2.5-0.5B,20,0.5,ja,en,r1,0.111328125,512
Qwen/Qwen2.5-0.5B,20,0.5,ja,ko,r1,0.08203125,512
Qwen/Qwen2.5-0.5B,20,0.5,ja,zh,r1,0.130859375,512
Qwen/Qwen2.5-0.5B,20,0.5,zh,en,r1,0.236328125,512
Qwen/Qwen2.5-0.5B,20,0.5,zh,ko,r1,0.109375,512
Qwen/Qwen2.5-0.5B,20,0.5,zh,ja,r1,0.126953125,512
Qwen/Qwen2.5-0.5B,21,0.5,en,ko,r1,0.1328125,512
Qwen/Qwen2.5-0.5B,21,0.5,en,ja,r1,0.14453125,512
Qwen/Qwen2.5-0.5B,21,0.5,en,zh,r1,0.326171875,512
Qwen/Qwen2.5-0.5B,21,0.5,ko,en,r1,0.087890625,512
Qwen/Qwen2.5-0.5B,21,0.5,ko,ja,r1,0.080078125,512
Qwen/Qwen2.5-0.5B,21,0.5,ko,zh,r1,0.091796875,512
Qwen/Qwen2.5-0.5B,21,0.5,ja,en,r1,0.13671875,512
Qwen/Qwen2.5-0.5B,21,0.5,ja,ko,r1,0.08984375,512
Qwen/Qwen2.5-0.5B,21,0.5,ja,zh,r1,0.138671875,512
Qwen/Qwen2.5-0.5B,21,0.5,zh,en,r1,0.30078125,512
Qwen/Qwen2.5-0.5B,21,0.5,zh,ko,r1,0.1328125,512
Qwen/Qwen2.5-0.5B,21,0.5,zh,ja,r1,0.146484375,512
Qwen/Qwen2.5-0.5B,22,0.5,en,ko,r1,0.123046875,512
Qwen/Qwen2.5-0.5B,22,0.5,en,ja,r1,0.150390625,512
Qwen/Qwen2.5-0.5B,22,0.5,en,zh,r1,0.337890625,512
Qwen/Qwen2.5-0.5B,22,0.5,ko,en,r1,0.080078125,512
Qwen/Qwen2.5-0.5B,22,0.5,ko,ja,r1,0.09765625,512
Qwen/Qwen2.5-0.5B,22,0.5,ko,zh,r1,0.103515625,512
Qwen/Qwen2.5-0.5B,22,0.5,ja,en,r1,0.126953125,512
Qwen/Qwen2.5-0.5B,22,0.5,ja,ko,r1,0.099609375,512
Qwen/Qwen2.5-0.5B,22,0.5,ja,zh,r1,0.14453125,512
Qwen/Qwen2.5-0.5B,22,0.5,zh,en,r1,0.30078125,512
Qwen/Qwen2.5-0.5B,22,0.5,zh,ko,r1,0.12890625,512
Qwen/Qwen2.5-0.5B,22,0.5,zh,ja,r1,0.16796875,512
Qwen/Qwen2.5-0.5B,23,0.5,en,ko,r1,0.021484375,512
Qwen/Qwen2.5-0.5B,23,0.5,en,ja,r1,0.087890625,512
Qwen/Qwen2.5-0.5B,23,0.5,en,zh,r1,0.287109375,512
Qwen/Qwen2.5-0.5B,23,0.5,ko,en,r1,0.072265625,512
Qwen/Qwen2.5-0.5B,23,0.5,ko,ja,r1,0.083984375,512
Qwen/Qwen2.5-0.5B,23,0.5,ko,zh,r1,0.095703125,512
Qwen/Qwen2.5-0.5B,23,0.5,ja,en,r1,0.11328125,512
Qwen/Qwen2.5-0.5B,23,0.5,ja,ko,r1,0.072265625,512
Qwen/Qwen2.5-0.5B,23,0.5,ja,zh,r1,0.140625,512
Qwen/Qwen2.5-0.5B,23,0.5,zh,en,r1,0.294921875,512
Qwen/Qwen2.5-0.5B,23,0.5,zh,ko,r1,0.04296875,512
Qwen/Qwen2.5-0.5B,23,0.5,zh,ja,r1,0.14453125,512
Qwen/Qwen2.5-0.5B,24,0.5,en,ko,r1,0.009765625,512
Qwen/Qwen2.5-0.5B,24,0.5,en,ja,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,24,0.5,en,zh,r1,0.009765625,512
Qwen/Qwen2.5-0.5B,24,0.5,ko,en,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,24,0.5,ko,ja,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,24,0.5,ko,zh,r1,0.005859375,512
Qwen/Qwen2.5-0.5B,24,0.5,ja,en,r1,0.015625,512
Qwen/Qwen2.5-0.5B,24,0.5,ja,ko,r1,0.005859375,512
Qwen/Qwen2.5-0.5B,24,0.5,ja,zh,r1,0.017578125,512
Qwen/Qwen2.5-0.5B,24,0.5,zh,en,r1,0.025390625,512
Qwen/Qwen2.5-0.5B,24,0.5,zh,ko,r1,0.001953125,512
Qwen/Qwen2.5-0.5B,24,0.5,zh,ja,r1,0.013671875,512
Qwen/Qwen2.5-0.5B,18,0.75,en,ko,r1,0.076171875,512
Qwen/Qwen2.5-0.5B,18,0.75,en,ja,r1,0.091796875,512
Qwen/Qwen2.5-0.5B,18,0.75,en,zh,r1,0.265625,512
Qwen/Qwen2.5-0.5B,18,0.75,ko,en,r1,0.087890625,512
Qwen/Qwen2.5-0.5B,18,0.75,ko,ja,r1,0.1015625,512
Qwen/Qwen2.5-0.5B,18,0.75,ko,zh,r1,0.087890625,512
Qwen/Qwen2.5-0.5B,18,0.75,ja,en,r1,0.125,512
Qwen/Qwen2.5-0.5B,18,0.75,ja,ko,r1,0.095703125,512
Qwen/Qwen2.5-0.5B,18,0.75,ja,zh,r1,0.1015625,512
Qwen/Qwen2.5-0.5B,18,0.75,zh,en,r1,0.26171875,512
Qwen/Qwen2.5-0.5B,18,0.75,zh,ko,r1,0.087890625,512
Qwen/Qwen2.5-0.5B,18,0.75,zh,ja,r1,0.130859375,512
Qwen/Qwen2.5-0.5B,19,0.75,en,ko,r1,0.0859375,512
Qwen/Qwen2.5-0.5B,19,0.75,en,ja,r1,0.107421875,512
Qwen/Qwen2.5-0.5B,19,0.75,en,zh,r1,0.30078125,512
Qwen/Qwen2.5-0.5B,19,0.75,ko,en,r1,0.10546875,512
Qwen/Qwen2.5-0.5B,19,0.75,ko,ja,r1,0.09765625,512
Qwen/Qwen2.5-0.5B,19,0.75,ko,zh,r1,0.095703125,512
Qwen/Qwen2.5-0.5B,19,0.75,ja,en,r1,0.115234375,512
Qwen/Qwen2.5-0.5B,19,0.75,ja,ko,r1,0.087890625,512
Qwen/Qwen2.5-0.5B,19,0.75,ja,zh,r1,0.107421875,512
Qwen/Qwen2.5-0.5B,19,0.75,zh,en,r1,0.26171875,512
Qwen/Qwen2.5-0.5B,19,0.75,zh,ko,r1,0.083984375,512
Qwen/Qwen2.5-0.5B,19,0.75,zh,ja,r1,0.130859375,512
Qwen/Qwen2.5-0.5B,20,0.75,en,ko,r1,0.078125,512
Qwen/Qwen2.5-0.5B,20,0.75,en,ja,r1,0.107421875,512
Qwen/Qwen2.5-0.5B,20,0.75,en,zh,r1,0.30859375,512
Qwen/Qwen2.5-0.5B,20,0.75,ko,en,r1,0.09765625,512
Qwen/Qwen2.5-0.5B,20,0.75,ko,ja,r1,0.103515625,512
Qwen/Qwen2.5-0.5B,20,0.75,ko,zh,r1,0.1171875,512
Qwen/Qwen2.5-0.5B,20,0.75,ja,en,r1,0.111328125,512
Qwen/Qwen2.5-0.5B,20,0.75,ja,ko,r1,0.09765625,512
Qwen/Qwen2.5-0.5B,20,0.75,ja,zh,r1,0.12890625,512
