model,layer,normalized_depth,pooling,condition,train_language,test_language,metric,value,accuracy,macro_f1,english_score,transfer_gap,n_train,n_centroid_samples,n_eval,n_classes
Qwen/Qwen2.5-0.5B,12,0.5,last_token,raw,en,ko,accuracy,0.212,0.212,0.1402874663147899,0.6713333333333333,0.45933333333333337,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,raw,en,ko,macro_f1,0.1402874663147899,0.212,0.1402874663147899,0.6199580456187734,0.47967057930398355,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,raw,en,ja,accuracy,0.288,0.288,0.20619138246989585,0.6713333333333333,0.38333333333333336,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,raw,en,ja,macro_f1,0.20619138246989585,0.288,0.20619138246989585,0.6199580456187734,0.41376666314887756,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,raw,en,zh,accuracy,0.5913333333333334,0.5913333333333334,0.5247854262578089,0.6713333333333333,0.07999999999999996,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,raw,en,zh,macro_f1,0.5247854262578089,0.5913333333333334,0.5247854262578089,0.6199580456187734,0.09517261936096455,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,global-centered,en,en,accuracy,0.6713333333333333,0.6713333333333333,0.6199580456187734,0.6713333333333333,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,global-centered,en,en,macro_f1,0.6199580456187734,0.6713333333333333,0.6199580456187734,0.6199580456187734,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,global-centered,en,ko,accuracy,0.212,0.212,0.1402874663147899,0.6713333333333333,0.45933333333333337,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,global-centered,en,ko,macro_f1,0.1402874663147899,0.212,0.1402874663147899,0.6199580456187734,0.47967057930398355,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,global-centered,en,ja,accuracy,0.288,0.288,0.20619138246989585,0.6713333333333333,0.38333333333333336,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,global-centered,en,ja,macro_f1,0.20619138246989585,0.288,0.20619138246989585,0.6199580456187734,0.41376666314887756,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,global-centered,en,zh,accuracy,0.5913333333333334,0.5913333333333334,0.5247854262578089,0.6713333333333333,0.07999999999999996,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,global-centered,en,zh,macro_f1,0.5247854262578089,0.5913333333333334,0.5247854262578089,0.6199580456187734,0.09517261936096455,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,per-language-centered,en,en,accuracy,0.6713333333333333,0.6713333333333333,0.6199580456187734,0.6713333333333333,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,per-language-centered,en,en,macro_f1,0.6199580456187734,0.6713333333333333,0.6199580456187734,0.6199580456187734,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,per-language-centered,en,ko,accuracy,0.214,0.214,0.14824561547014328,0.6713333333333333,0.45733333333333337,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,per-language-centered,en,ko,macro_f1,0.14824561547014328,0.214,0.14824561547014328,0.6199580456187734,0.4717124301486302,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,per-language-centered,en,ja,accuracy,0.2946666666666667,0.2946666666666667,0.21878725931669493,0.6713333333333333,0.37666666666666665,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,per-language-centered,en,ja,macro_f1,0.21878725931669493,0.2946666666666667,0.21878725931669493,0.6199580456187734,0.4011707863020785,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,per-language-centered,en,zh,accuracy,0.5973333333333334,0.5973333333333334,0.5299423570366506,0.6713333333333333,0.07399999999999995,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,per-language-centered,en,zh,macro_f1,0.5299423570366506,0.5973333333333334,0.5299423570366506,0.6199580456187734,0.09001568858212283,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,raw,en,en,accuracy,0.758,0.758,0.6955440028266077,0.758,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,raw,en,en,macro_f1,0.6955440028266077,0.758,0.6955440028266077,0.6955440028266077,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,raw,en,ko,accuracy,0.216,0.216,0.14732297048016813,0.758,0.542,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,raw,en,ko,macro_f1,0.14732297048016813,0.216,0.14732297048016813,0.6955440028266077,0.5482210323464396,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,raw,en,ja,accuracy,0.20333333333333334,0.20333333333333334,0.13926108065754395,0.758,0.5546666666666666,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,raw,en,ja,macro_f1,0.13926108065754395,0.20333333333333334,0.13926108065754395,0.6955440028266077,0.5562829221690637,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,raw,en,zh,accuracy,0.5526666666666666,0.5526666666666666,0.5150353532539673,0.758,0.20533333333333337,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,raw,en,zh,macro_f1,0.5150353532539673,0.5526666666666666,0.5150353532539673,0.6955440028266077,0.18050864957264035,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,global-centered,en,en,accuracy,0.758,0.758,0.6955440028266077,0.758,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,global-centered,en,en,macro_f1,0.6955440028266077,0.758,0.6955440028266077,0.6955440028266077,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,global-centered,en,ko,accuracy,0.216,0.216,0.14732297048016813,0.758,0.542,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,global-centered,en,ko,macro_f1,0.14732297048016813,0.216,0.14732297048016813,0.6955440028266077,0.5482210323464396,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,global-centered,en,ja,accuracy,0.20333333333333334,0.20333333333333334,0.13926108065754395,0.758,0.5546666666666666,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,24,1.0,last_token,global-centered,en,ja,macro_f1,0.13926108065754395,0.20333333333333334,0.13926108065754395,0.6955440028266077,0.5562829221690637,3000,3000,1500,60
