model,layer,normalized_depth,pooling,source_language,target_language,metric,n_train,n_eval,condition,status,value
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r1,256,512,delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r5,256,512,raw,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r5,256,512,centered,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r5,256,512,centered_delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r5,256,512,aligned,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r5,256,512,delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r10,256,512,raw,ok,0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r10,256,512,centered,ok,0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r10,256,512,centered_delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r10,256,512,aligned,ok,0.009765625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r10,256,512,delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,mrr,256,512,raw,ok,0.005367965104129621
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,mrr,256,512,centered,ok,0.009985482954661642
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,mrr,256,512,centered_delta,ok,0.0046175178505320205
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,mrr,256,512,aligned,ok,0.010009903210558172
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,mrr,256,512,delta,ok,0.004641938106428551
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r1,256,512,raw,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r1,256,512,centered,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r1,256,512,centered_delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r1,256,512,aligned,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r1,256,512,delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r5,256,512,raw,ok,0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r5,256,512,centered,ok,0.009765625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r5,256,512,centered_delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r5,256,512,aligned,ok,0.009765625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r5,256,512,delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r10,256,512,raw,ok,0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r10,256,512,centered,ok,0.009765625
