model,layer,normalized_depth,pooling,record_type,basis,k,seed,source_language,target_language,metric,value,n_train,n_eval
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,zh,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,zh,ja,mrr,0.009361698622021896,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,top_pca,1,,,,accuracy,0.5224609375,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,top_pca,1,,,,macro_f1,0.3990768875768407,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,en,ko,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,en,ko,mrr,0.015303299888469606,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,en,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,en,ja,mrr,0.009669220158948453,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,en,zh,r1,0.009765625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,en,zh,mrr,0.023546735114003313,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,ko,en,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,ko,en,mrr,0.015820423991720192,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,ko,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,ko,ja,mrr,0.00963961665061495,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,ko,zh,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,ko,zh,mrr,0.013972634835843455,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,ja,en,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,ja,en,mrr,0.005624573656464134,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,ja,ko,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,ja,ko,mrr,0.006639141213546923,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,ja,zh,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,ja,zh,mrr,0.006345511524628366,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,zh,en,r1,0.009765625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,zh,en,mrr,0.02559786001304913,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,zh,ko,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,zh,ko,mrr,0.015275970950677745,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,zh,ja,r1,0.001953125,1024,2048
